lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.7.1-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.17.0-1
lib32-libngtcp2 1.24.0-1
lib32-libnm 1.56.1-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-4
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.4-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.39-1
lib32-nss 3.125-1
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.4-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.8-1
lib32-spirv-tools 1:1.4.350.1-1
lib32-sqlite 3.53.3-1
lib32-systemd 261.1-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.350.1-1
lib32-vulkan-mesa-implicit-layers 1:26.1.4-1
lib32-vulkan-radeon 1:26.1.4-1
lib32-wayland 1.25.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.2-1
libaemu 0.1.2-5
libaio 0.3.113-4
libarchive 3.8.8-2
libasan 16.1.1+r346+g4e03491b401d-4
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r346+g4e03491b401d-4
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdispatch 6.2.2-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.3.2-2
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.0-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libevdev 1.13.6-1
libevent 2.1.13-2
libfakekey 0.3-4
libfdk-aac 2.0.3-2
libffi 3.7.1-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-2
libgcc 16.1.1+r346+g4e03491b401d-4
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgfortran 16.1.1+r346+g4e03491b401d-4
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgnomekbd 1:3.28.1-2
libgomp 16.1.1+r346+g4e03491b401d-4
libgpg-error 1.61-1
libgudev 238-3
libhandy 1.8.3-2
libheif 1.23.1-1
libhwasan 16.1.1+r346+g4e03491b401d-4
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libkdcraw 26.04.3-1
libkexiv2 26.04.3-1
libksba 1.8.0-1
libkscreen 6.7.3-1
libksysguard 6.7.3-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblsan 16.1.1+r346+g4e03491b401d-4
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.1-2
libmbim 1.34.0-1
libmd 1.2.0-1
libmfx 23.2.2-6
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmspack 1:1.11-2
libmtp 1.1.23-1
libmysofa 1.3.4-1
libnbd 1.24.2-3
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.17.0-1
libngtcp2 1.24.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-1
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnvme 1.16.2-1
